ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120000779,1,2,70,5,0,1,0,0
T20120000782,1,3,50,2,1,1,1,1
T20120000744,1,3,70,5,1,1,1,1
T20120000745,1,3,100,2,0,1,1,1
T20120000747,1,3,80,5,1,1,0,0
T20120000792,1,1,100,1,1,1,1,0
T20120000752,1,3,100,2,2,1,1,0
T20120000751,1,3,100,5,0,1,1,0
T20120000798,1,3,60,2,1,1,1,1
T20120000742,1,3,80,5,2,1,1,1
T20120000829,1,3,80,5,0,1,1,1
T20120000955,1,3,50,2,0,1,1,1
T20120011144,4,2,50,5,0,1,1,0
T20120000750,1,3,50,5,1,1,1,0
T20120000768,1,3,60,2,1,1,1,1
T20120001654,1,2,60,1,1,1,1,1
T20120000715,1,3,80,4,1,1,1,1
T20120000718,1,3,60,1,1,1,1,1
T20120000764,1,3,60,5,0,1,0,1
T20120000719,1,3,50,1,2,1,1,1
T20120000930,1,3,60,1,1,1,1,1
T20120000781,1,3,100,5,2,1,1,1
T20120000771,1,3,100,5,3,1,1,0
T20120000727,1,3,70,2,1,1,1,0
T20120000717,1,3,50,5,0,1,1,1
T20120000709,1,2,100,5,0,1,1,1
T20120000714,1,2,50,1,1,1,1,0
T20120000730,1,3,30,5,1,1,1,1
T20120000759,1,2,60,1,1,1,1,1
T20120000822,1,2,80,2,0,1,1,1
T20120000945,1,3,60,5,1,1,1,1
T20120000783,1,3,60,5,0,1,1,0
T20120000799,1,2,100,5,0,1,1,1
T20120000791,1,2,60,2,4,1,1,1
T20120000855,1,3,80,2,3,1,1,1
T20120000838,1,3,60,4,1,1,1,0
T20120000830,1,2,80,2,1,1,1,0
T20120001090,1,3,50,1,1,1,1,1
T20120000858,1,2,50,2,2,1,1,1
T20120000797,2,3,100,5,1,1,1,1
T20140016905,3,3,60,5,2,1,1,1
T20120017862,1,3,70,4,2,1,1,0
T20120000859,1,2,100,1,0,1,1,1
T20120000831,1,3,60,5,0,1,1,1
T20120001140,1,3,100,5,0,1,1,1
T20120001687,1,3,50,2,1,1,1,1
T20120000860,1,3,60,2,1,1,1,1
T20120000844,1,3,100,5,0,1,1,1
T20120000862,1,2,50,2,1,1,0,0
T20120000804,1,3,100,5,0,1,1,1
T20120000863,2,3,40,5,0,1,1,0
T20120000864,1,2,50,1,1,1,1,1
T20120000865,3,3,50,5,2,1,1,0
T20120000826,1,3,60,2,1,1,0,0
T20120000867,5,3,80,5,1,1,1,1
T20120000868,1,1,100,1,3,1,1,1
T20120000924,1,2,100,5,1,1,1,1
T20120000848,1,3,100,5,0,1,1,1
T20120000902,1,2,80,1,3,1,1,1
T20120000813,1,3,80,2,2,1,1,1
T20120000812,1,2,60,1,1,1,0,1
T20120000845,1,2,80,4,0,1,0,1
T20120000835,1,3,40,1,0,1,1,1
T20120001990,1,3,70,5,1,1,1,1
T20120000824,1,2,50,5,1,1,1,1
T20120000834,1,2,60,1,1,1,1,1
T20120000837,1,2,70,5,0,1,1,1
T20120000847,1,2,50,5,1,1,1,1
T20120000821,1,2,70,1,4,1,1,1
T20120000849,1,2,40,1,1,1,1,0
T20120000850,1,3,60,1,4,1,1,1
T20120000819,1,2,60,2,1,1,1,0
T20120000818,1,2,50,2,0,1,1,1
T20120000814,1,3,50,1,3,1,1,1
T20120003208,1,3,40,5,0,1,1,1
T20120000840,1,3,60,2,2,1,1,1
T20120001369,4,3,100,2,0,1,1,1
T20120000870,5,2,70,2,0,1,1,1
T20120000871,5,2,100,5,0,1,1,1
T20120000876,1,2,60,5,1,1,1,0
T20120000877,1,2,60,4,1,1,1,1
T20120000880,1,3,100,2,1,1,1,0
T20120000885,1,2,60,1,1,1,1,0
T20120000888,1,2,80,5,1,1,1,1
T20120000894,1,2,50,2,1,1,1,1
T20120000897,1,3,60,2,0,1,1,0
T20120000961,1,3,100,5,0,1,1,0
T20120000960,1,3,80,5,1,1,1,0
T20120000899,2,3,100,5,0,1,1,1
T20120000906,1,2,60,5,0,1,1,1
T20120000915,1,3,100,5,2,1,1,0
T20120000919,1,3,80,2,1,1,1,1
T20120000920,1,3,80,5,3,1,0,0
T20120004627,1,3,60,5,1,1,1,1
T20120000927,1,2,60,1,1,1,1,0
T20120000949,3,2,50,5,1,1,1,0
T20120000947,2,2,80,5,1,1,1,0
T20120002014,2,2,0,5,0,1,1,1
T20120000939,1,2,80,5,1,1,1,1
T20120000943,1,1,80,5,0,1,1,1
T20120000942,1,2,80,2,2,1,0,0
T20120000941,1,3,70,2,1,1,1,1
T20120001102,1,3,80,5,0,1,1,1
T20120001194,1,2,50,2,1,1,1,1
T20120001198,1,3,60,5,1,1,1,1
T20120004579,1,3,100,5,0,1,1,1
T20120000887,1,2,60,2,1,1,1,1
T20120001278,1,3,70,5,2,1,1,1
T20120000995,1,3,60,5,1,1,1,1
T20120001019,3,3,70,5,1,1,1,0
T20120000994,1,3,100,5,0,1,1,1
T20120000992,1,3,40,5,2,1,1,1
T20120000979,1,2,100,2,0,1,1,0
T20120001085,3,3,70,1,1,1,0,0
T20120001016,1,3,60,2,3,1,0,0
T20120000978,1,2,150,5,1,1,1,0
T20120000976,1,2,100,5,0,1,1,1
T20120000974,1,2,80,5,3,1,1,0
T20120003270,1,3,60,1,1,1,1,0
T20120000968,1,2,60,1,0,1,1,1
T20120001015,3,3,60,2,3,1,1,1
T20120001007,1,3,80,1,2,1,1,1
T20120001000,1,2,100,2,3,1,1,1
T20120000990,1,2,60,1,3,1,1,1
T20120014443,1,3,70,5,1,1,1,0
T20120000980,1,3,70,5,1,1,1,0
T20120001059,1,3,60,2,1,1,1,0
T20120001050,1,3,60,5,0,1,1,1
T20120001063,1,3,80,5,2,1,1,1
T20120001047,1,3,60,1,1,1,1,0
T20120001042,1,2,80,4,1,1,1,0
T20120001491,1,3,80,5,0,1,1,1
T20120001118,1,2,60,5,1,1,1,1
T20120012669,4,3,60,1,1,1,1,1
T20120001040,1,3,60,2,1,1,1,1
T20120001037,1,2,60,2,0,1,0,0
T20120001035,1,3,70,5,0,1,1,1
T20120001033,5,1,100,1,0,1,1,1
T20120001547,1,3,100,5,0,1,0,1
T20120001064,1,3,60,2,1,1,1,1
T20120001069,1,2,70,2,1,1,1,1
T20120001066,1,3,60,5,0,1,1,1
T20120001696,1,2,60,2,5,1,1,1
T20120001539,3,3,70,5,1,1,1,0
T20120001067,1,2,60,1,2,1,1,0
T20120001667,4,3,50,5,1,1,1,1
T20120001068,1,2,60,5,0,1,1,1
T20120001070,1,1,100,5,1,1,1,1
T20120001128,1,3,100,5,0,1,1,1
T20120001129,1,3,100,5,0,1,0,0
T20120001073,1,2,50,2,0,1,1,1
T20120001074,2,3,50,1,0,1,1,1
T20120001078,3,2,50,5,1,1,1,1
T20120001079,1,3,80,2,2,1,1,1
T20120001080,3,3,60,5,1,1,1,1
T20120001081,5,3,110,5,1,1,1,1
T20120001061,1,3,60,5,1,1,1,1
T20120001082,5,3,80,5,0,1,0,0
T20120001083,1,1,100,5,0,1,0,0
T20120001026,3,3,60,5,0,1,0,0
T20120001089,3,3,50,2,2,1,0,0
T20120001065,1,2,100,5,1,1,0,0
T20120001520,1,3,80,5,0,1,0,0
T20120006363,5,3,60,5,0,1,0,0
