ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120007009,OTHER,50,2,0,1,2,0,1.0,65+,2,1,1,1.33,1992,P,2059.0,1,2,1
T20120007013,OTHER,60,5,1,1,2,1,1.0,40-64,5,2,2,1.67,1998,P,1687.0,1,2,1
T20120007014,OTHER,100,5,1,1,2,1,1.0,40-64,6,2,2,2.33,2001,D,1345.0,1,2,2
T20120007015,SERIOUS,100,5,3,1,2,1,0.0,65+,6,3,4,1.0,2002,P,2576.0,1,2,1
T20120007018,SERIOUS,100,5,2,1,2,0,1.0,40-64,6,2,5,1.0,2008,P,1735.0,1,2,3
T20120007019,OTHER,70,2,2,1,2,0,1.0,26-39,6,2,4,1.0,1998,P,1175.0,1,2,0
T20120007021,SERIOUS,60,2,0,1,1,0,1.0,40-64,6,1,1,1.67,1995,M,1300.0,1,2,3
T20120007022,OTHER,50,5,1,1,2,1,0.0,65+,1,1,2,2.33,2004,P,1704.0,1,2,1
T20120007023,OTHER,50,5,2,1,2,0,1.0,26-39,6,2,3,1.0,1999,P,5300.0,1,2,0
T20120007024,SERIOUS,60,5,1,1,2,1,0.0,17-25,6,2,2,1.0,2007,P,1547.0,1,2,0
T20120007025,OTHER,60,1,2,1,1,0,1.0,65+,6,2,3,1.0,2003,P,1695.0,1,2,3
T20120007026,OTHER,60,2,5,1,2,0,1.0,26-39,6,3,6,0.67,1995,P,1383.0,1,2,2
T20120007030,OTHER,50,5,0,1,1,1,1.0,40-64,6,1,1,0.67,2002,P,1974.0,3,2,0
T20120007034,SERIOUS,50,5,1,1,2,1,0.0,65+,5,2,2,1.0,2002,P,1400.0,1,2,1
T20120007035,OTHER,60,5,0,1,2,1,1.0,40-64,6,1,1,1.33,2001,P,1430.0,1,2,5
T20120007037,SERIOUS,60,2,2,1,2,1,0.0,17-25,6,2,3,1.0,1985,P,1275.0,1,2,2
T20120007038,OTHER,60,5,0,1,2,1,1.0,26-39,6,3,2,1.0,1994,P,1401.0,1,2,4
T20120007044,OTHER,60,5,0,1,2,1,0.0,17-25,6,1,1,1.67,2007,P,1101.0,1,2,0
T20120007046,SERIOUS,80,1,2,1,2,1,0.0,40-64,6,2,4,2.33,2006,D,1322.0,1,2,2
T20120007047,SERIOUS,60,1,2,1,2,1,1.0,40-64,6,2,4,1.67,1985,P,1200.0,1,2,3
T20120007049,OTHER,60,4,1,1,1,1,1.0,17-25,6,2,3,1.67,1995,P,1400.0,1,2,4
T20120007050,SERIOUS,80,5,6,1,2,1,0.0,26-39,6,5,7,1.67,2006,P,2059.0,1,2,1
T20120007053,SERIOUS,60,5,0,1,2,1,0.0,26-39,6,1,1,2.0,1999,P,1460.0,1,2,3
T20120007055,OTHER,50,5,1,1,1,1,1.0,40-64,5,2,2,1.33,2007,P,1467.0,1,2,2
T20120007056,FATAL,100,5,0,1,2,1,1.0,40-64,6,1,1,1.0,2007,P,1370.0,3,2,4
T20120007057,OTHER,80,5,0,1,2,1,1.0,40-64,5,2,2,1.0,1998,P,1312.0,1,2,0
T20120007058,OTHER,80,1,1,1,2,0,0.0,26-39,6,2,3,1.33,1996,M,1230.0,1,2,1
T20120007059,SERIOUS,60,5,1,1,2,1,1.0,26-39,1,1,2,0.67,2007,P,1335.0,1,2,2
T20120007064,OTHER,60,1,1,1,2,1,1.0,40-64,4,2,2,1.67,2004,P,1555.0,1,2,0
T20120007066,OTHER,80,5,0,1,2,0,1.0,26-39,7,1,1,1.33,2008,P,1525.0,1,2,3
T20120007070,OTHER,50,2,1,1,1,1,1.0,65+,7,2,2,1.0,2000,M,1400.0,1,2,1
T20120007071,OTHER,60,1,1,1,2,1,1.0,26-39,7,2,3,1.33,2007,P,1325.0,1,2,4
T20120007073,OTHER,60,1,1,1,2,1,1.0,40-64,6,1,2,1.0,2009,P,1377.0,1,2,0
T20120007076,OTHER,60,1,1,1,2,0,1.0,40-64,7,1,2,1.0,1999,M,1500.0,1,2,0
T20120007077,OTHER,60,5,2,1,2,1,0.0,17-25,6,2,3,1.67,1991,P,1420.0,1,2,1
T20120007078,OTHER,70,5,2,1,2,1,1.0,17-25,7,2,4,1.0,2007,P,1262.0,1,2,3
T20120007080,SERIOUS,60,1,1,1,2,1,1.0,40-64,5,2,2,0.67,1997,M,1220.0,1,2,1
T20120007081,OTHER,80,2,1,1,2,0,1.0,40-64,7,2,2,1.0,1989,P,758.0,1,2,1
T20120007083,OTHER,50,1,2,1,2,0,0.0,Under 16,7,2,3,1.0,2003,D,1420.0,1,2,3
T20120007084,OTHER,100,5,2,1,2,1,0.0,40-64,7,1,3,1.33,2006,P,1375.0,1,2,3
T20120007085,OTHER,60,5,1,1,2,1,0.0,40-64,6,2,4,1.33,2008,P,1680.0,1,2,1
T20120007087,FATAL,60,1,1,1,1,1,1.0,17-25,7,1,2,0.67,2006,P,1375.0,1,2,1
T20120007088,SERIOUS,80,2,1,1,2,0,0.0,65+,7,2,2,1.0,1993,D,1327.0,1,2,2
T20120007091,SERIOUS,100,5,1,1,2,0,1.0,65+,7,2,2,1.33,2003,D,6285.0,1,2,0
T20120007093,OTHER,50,5,1,1,2,0,0.0,40-64,4,2,2,1.33,2005,M,1686.0,1,2,3
T20120007094,OTHER,100,5,0,1,2,1,0.0,26-39,7,1,1,2.67,1996,P,1300.0,1,2,5
T20120007095,SERIOUS,100,1,0,1,2,0,0.0,17-25,7,2,3,0.67,1999,P,1434.0,1,2,5
T20120007096,OTHER,50,5,1,1,2,1,1.0,26-39,7,1,2,1.0,2007,P,1798.0,1,2,1
T20120007097,SERIOUS,50,5,1,1,2,0,0.0,40-64,7,2,2,1.0,1994,P,1325.0,1,2,1
T20120007100,SERIOUS,60,5,1,1,2,1,1.0,65+,7,3,4,1.0,1994,P,1498.0,1,2,1
T20120007104,OTHER,80,2,0,1,1,1,0.0,40-64,6,1,1,2.33,1992,M,1400.0,1,2,4
